coucou;Je suis un petit oiseau qui aime bien dire bonjour !;0;0;
koala;ZZZZZZzzzzzz...;0;0;
hibou;Ne me faites pas tourner la tête !;0;0;
gargouille;Quand j'ai faim mon ventre gargouille...;0;0;
baleine;Globalement le plus gros animal existant hehe;0;0;
belouga;Je suis à peu près un dauphin en moins bien;0;0;
chouette;Trop chouette de pouvoir remplir sa biographie;0;0;
autruche;C'est un cou monté...;0;0;
pseudo;Je n'ai pas eu beaucoup d'imagination lors de mon inscription...;0;0;
crayon;bonjour;21;1;gomme;ok la ca marche;2;1;
gomme;Votre biographie est vide.;4;1;
